date,ticker,close,adj_close,volume,dividend,split
2022-01-03,AAPL,182.0099945068359,177.786376953125,104487900.0,0.0,1.0
2022-01-03,AMZN,3408.089904785156,170.4044952392578,3176000.0,0.0,1.0
2022-01-03,BA,207.86000061035156,207.86000061035156,9060200.0,0.0,1.0
2022-01-03,BAC,46.18000030517578,41.055877685546875,58587900.0,0.0,1.0
2022-01-03,CAT,207.0,190.99114990234375,2055600.0,0.0,1.0
2022-01-03,COST,566.7100219726562,537.92431640625,2714100.0,0.0,1.0
2022-01-03,CVX,119.26000213623048,98.72557067871094,10717700.0,0.0,1.0
2022-01-03,DIS,156.75999450683594,151.9887237548828,10222800.0,0.0,1.0
2022-01-03,GOOGL,2899.830017089844,143.62481689453125,1432300.0,0.0,1.0
2022-01-03,GS,395.3299865722656,352.06219482421875,3334300.0,0.0,1.0
2022-01-04,AAPL,179.6999969482422,175.53001403808594,99310400.0,0.0,1.0
2022-01-04,AMZN,3350.4400634765625,167.52200317382812,3536300.0,0.0,1.0
2022-01-04,BA,213.6300048828125,213.6300048828125,11414600.0,0.0,1.0
2022-01-04,BAC,47.9900016784668,42.665035247802734,74606700.0,0.0,1.0
2022-01-04,CAT,218.0800018310547,201.2142639160156,5242300.0,0.0,1.0
2022-01-04,COST,564.22998046875,535.5702514648438,2097500.0,0.0,1.0
2022-01-04,CVX,121.43000030517578,100.52194213867188,16413100.0,0.0,1.0
2022-01-04,DIS,155.72999572753906,150.99008178710938,16582000.0,0.0,1.0
2022-01-04,GOOGL,2887.9901123046875,143.03842163085938,1420000.0,0.0,1.0
2022-01-04,GS,407.4800109863281,362.8825073242187,3916400.0,0.0,1.0
2022-01-05,AAPL,174.9199981689453,170.86090087890625,94537600.0,0.0,1.0
2022-01-05,AMZN,3287.139892578125,164.35699462890625,3215100.0,0.0,1.0
2022-01-05,BA,213.07000732421875,213.07000732421875,11564700.0,0.0,1.0
2022-01-05,BAC,47.18000030517578,41.94491195678711,57791600.0,0.0,1.0
2022-01-05,CAT,219.75,202.7551422119141,5378200.0,0.0,1.0
