ticker,filed_date,fiscal_end,surprise,seasonal_change,source_accn,source_concept
CAT,2011-05-09,2011-03-31,1.6584389328544875,0.0149426845617364,0001104659-11-027403,NetIncomeLoss
COST,2011-06-09,2011-05-08,0.5263474168212365,0.0006673092607696,0001193125-11-161386,NetIncomeLoss
AAPL,2011-07-20,2011-06-25,3.9505304509777392,0.037983101968939,0001193125-11-192493,NetIncomeLoss
AMZN,2011-07-27,2011-06-30,-0.145687254664341,-0.0008918120506103,0001193125-11-197823,NetIncomeLoss
BA,2011-07-27,2011-06-30,0.0983626018548497,0.0021353596139713,0001193125-11-198584,NetIncomeLoss
BAC,2011-08-04,2011-06-30,-4.942571237536773,-0.0052840842004157,0000950123-11-072937,NetIncomeLoss
CAT,2011-08-04,2011-06-30,0.4269518503818046,0.0041841572591052,0001104659-11-043575,NetIncomeLoss
CVX,2011-08-04,2011-06-30,0.6266307215372037,0.0115161339896984,0000950123-11-072688,NetIncomeLoss
GS,2011-08-09,2011-06-30,0.2412146927623848,0.0005059183913075,0000950123-11-074589,NetIncomeLoss
COST,2011-10-14,2011-08-28,1.3390440257851193,0.0017189193228952,0001193125-11-271844,NetIncomeLoss
AAPL,2011-10-26,2011-09-24,2.3837240233147927,0.0198932723788572,0001193125-11-282113,NetIncomeLoss
AMZN,2011-10-26,2011-09-30,-1.478230478183889,-0.008817046289493,0001193125-11-280739,NetIncomeLoss
BA,2011-10-26,2011-09-30,0.1621145233453287,0.0035192751102301,0001193125-11-281613,NetIncomeLoss
BAC,2011-11-03,2011-09-30,3.144580349552629,0.0060960665480882,0000070858-11-000140,NetIncomeLoss
CVX,2011-11-03,2011-09-30,1.2864768479514324,0.0198972067477057,0001193125-11-294378,NetIncomeLoss
CAT,2011-11-04,2011-09-30,0.5617962122921762,0.004487764733113,0001104659-11-060986,NetIncomeLoss
GS,2011-11-09,2011-09-30,-1.2579245110899009,-0.0024143516396198,0000950123-11-096618,NetIncomeLoss
COST,2011-12-16,2011-11-20,0.2399133845609775,0.0002856734752178,0001193125-11-344028,NetIncomeLoss
AAPL,2012-01-25,2011-12-31,5.0,0.0509081993928512,0001193125-12-023398,NetIncomeLoss
AMZN,2012-02-01,2011-12-31,-1.3305183004139467,-0.0094548619352796,0001193125-12-032846,NetIncomeLoss
BA,2012-02-09,2011-12-31,0.2003417264235041,0.0028630010251794,0001193125-12-048565,NetIncomeLoss
BAC,2012-02-23,2011-12-31,0.4704873751019434,0.0015194598895467,0000070858-11-000140;0000070858-12-000155,NetIncomeLoss
CVX,2012-02-23,2011-12-31,-0.0757142896548895,-0.0008211042897925,0000950123-12-002976;0001193125-11-294378,NetIncomeLoss
COST,2012-03-15,2012-02-12,1.4439077570213243,0.0016720584493475,0001193125-12-115279,NetIncomeLoss
AAPL,2012-04-25,2012-03-31,3.660151385257063,0.0373341990538911,0001193125-12-182321,NetIncomeLoss
BA,2012-04-25,2012-03-31,0.3214115419291176,0.0042017330590362,0001193125-12-181463,NetIncomeLoss
AMZN,2012-04-27,2012-03-31,-0.5040087308103267,-0.0034908304243079,0001193125-12-187203,NetIncomeLoss
BAC,2012-05-03,2012-03-31,-0.1948164003533632,-0.0006399416167877,0000070858-12-000191,NetIncomeLoss
CVX,2012-05-03,2012-03-31,0.1449305348610651,0.0012099213551119,0001193125-12-207154,NetIncomeLoss
GS,2012-05-10,2012-03-31,-0.3521972520703982,-0.0006583015399628,0001193125-12-222707,NetIncomeLoss
COST,2012-06-06,2012-05-06,1.9720898913601672,0.0022273315131484,0001193125-12-261925,NetIncomeLoss
AAPL,2012-07-25,2012-06-30,0.9042067126045948,0.0093065514193104,0001193125-12-314552,NetIncomeLoss
BA,2012-07-25,2012-06-30,0.0248460057257604,0.0003186469759176,0000012927-12-000012,NetIncomeLoss
AMZN,2012-07-27,2012-06-30,-1.625471957457836,-0.0087527352297593,0001193125-12-317409,NetIncomeLoss
BAC,2012-08-02,2012-06-30,1.5961550862516487,0.0052243233462325,0000070858-12-000308,NetIncomeLoss
CVX,2012-08-02,2012-06-30,-0.2731646098874336,-0.0023794437936174,0001193125-12-330913,NetIncomeLoss
GS,2012-08-09,2012-06-30,-0.0771103673045557,-0.00013176786087,0001193125-12-344636,NetIncomeLoss
COST,2012-10-19,2012-09-02,5.0,0.0048268238761974,0001193125-12-428890,NetIncomeLoss
BA,2012-10-24,2012-09-30,-0.0630117497278581,-0.0007889640662729,0000012927-12-000024,NetIncomeLoss
AMZN,2012-10-26,2012-09-30,-3.0847839287337515,-0.0147586931768415,0001193125-12-436012,NetIncomeLoss
AAPL,2012-10-31,2012-09-29,0.7164359616542567,0.0090876045074518,0001193125-12-444068,NetIncomeLoss
BAC,2012-11-02,2012-09-30,-0.7166790990568357,-0.0027200181703861,0000070858-12-000362,NetIncomeLoss
CVX,2012-11-06,2012-09-30,-1.4222734177866456,-0.0113548205092037,0000093410-12-000003,NetIncomeLoss
GS,2012-11-08,2012-09-30,1.2516442526207328,0.0020069384233365,0001193125-12-458820,NetIncomeLoss
COST,2012-12-21,2012-11-25,2.41170683887108,0.0032738805715649,0001193125-12-512914,NetIncomeLoss
AAPL,2013-01-24,2012-12-29,0.0048828931251818,7.139651585002652e-05,0001193125-13-022339,NetIncomeLoss
AMZN,2013-01-30,2012-12-31,0.4652621097489811,0.0024573798187682,0001193125-13-028520,NetIncomeLoss
BA,2013-02-11,2012-12-31,-2.2686983693616782,-0.0046683765298776,0000012927-13-000014,NetIncomeLoss
CAT,2013-02-19,2012-12-31,-5.0,-0.0095125117507498,0000018230-13-000075,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2013-02-22,2012-12-31,0.9132076370946628,0.009107999759638,0000093410-12-000003;0000093410-13-000003,NetIncomeLoss
BAC,2013-02-28,2012-12-31,-0.1438294226132641,-0.0005696899601533,0000070858-12-000362;0000070858-13-000097,NetIncomeLoss
COST,2013-03-20,2013-02-17,3.650197374908126,0.0052597201691361,0001193125-13-117085,NetIncomeLoss
AAPL,2013-04-24,2013-03-30,-0.6053670196134946,-0.0106550684748617,0001193125-13-168288,NetIncomeLoss
BA,2013-04-24,2013-03-31,0.7083226705716319,0.0020232843543732,0000012927-13-000023,NetIncomeLoss
AMZN,2013-04-26,2013-03-31,-0.3104323875797263,-0.0016915107305211,0001193125-13-174667,NetIncomeLoss
CAT,2013-05-02,2013-03-31,-1.105589764828308,-0.0079555570580214,0000018230-13-000239,NetIncomeLossAvailableToCommonStockholdersBasic
CVX,2013-05-02,2013-03-31,-0.1269541985648173,-0.0012341518891369,0000093410-13-000010,NetIncomeLoss
BAC,2013-05-07,2013-03-31,0.1000843047693417,0.0003816409549484,0000070858-13-000147,NetIncomeLoss
GS,2013-05-09,2013-03-31,0.0961434064000207,0.0001574190777327,0001193125-13-208066,NetIncomeLoss
COST,2013-06-11,2013-05-12,1.3346127016305505,0.0024328467639805,0001445305-13-001463,NetIncomeLoss
AAPL,2013-07-24,2013-06-29,-0.4541856826194649,-0.0096269313906012,0001193125-13-300670,NetIncomeLoss
